community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_bz_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_cgly_e	0.06060606060606061	0.07	1	0.004242424242424243
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_leu__L_e	0.06060606060606061	0.02	1	0.0012121212121212121
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_pi_e	0.06060606060606061	0.95	1	0.05757575757575757
all	minimal	lane121s003995_shovill	lane122s000600_bin.4.o	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.5.s	M_acac_e	0.06060606060606061	0.03	1	0.0018181818181818182
all	minimal	lane121s003995_shovill	lane122s000600_bin.5.s	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000600_bin.5.s	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000600_bin.5.s	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane122s000600_bin.5.s	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.6.p	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane122s000600_bin.6.p	M_bz_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.6.p	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane122s000600_bin.6.p	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane122s000600_bin.6.p	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane821s003041_shovill	M_acald_e	0.06060606060606061	0.04	1	0.0024242424242424242
all	minimal	lane121s003995_shovill	lane821s003041_shovill	M_fe3_e	0.06060606060606061	0.09	1	0.005454545454545454
all	minimal	lane121s003995_shovill	lane821s003041_shovill	M_h2s_e	0.06060606060606061	0.89	1	0.05393939393939394
all	minimal	lane121s003995_shovill	lane821s003041_shovill	M_h_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane121s003995_shovill	lane821s003041_shovill	M_ppap_e	0.06060606060606061	0.01	1	0.0006060606060606061
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_acald_e	0.1111111111111111	0.12	1	0.013333333333333332
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_fe3_e	0.1111111111111111	0.01	1	0.0011111111111111111
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_glyc_e	0.1111111111111111	0.94	1	0.10444444444444444
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_h2o_e	0.1111111111111111	0.02	1	0.0022222222222222222
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_h2s_e	0.1111111111111111	0.18	1	0.019999999999999997
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_h_e	0.1111111111111111	0.04	1	0.0044444444444444444
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_nh4_e	0.1111111111111111	0.83	1	0.09222222222222222
all	minimal	lane122s000521_bin.1.s	lane121s003964_megahit	M_s_e	0.1111111111111111	0.82	1	0.0911111111111111
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_acald_e	0.1111111111111111	0.12	1	0.013333333333333332
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_ala__D_e	0.1111111111111111	0.1	1	0.011111111111111112
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_fe3_e	0.1111111111111111	0.01	1	0.0011111111111111111
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_glyc_e	0.1111111111111111	0.94	1	0.10444444444444444
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_h2o_e	0.1111111111111111	0.02	1	0.0022222222222222222
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_h2s_e	0.1111111111111111	0.18	1	0.019999999999999997
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_h_e	0.1111111111111111	0.04	1	0.0044444444444444444
all	minimal	lane122s000521_bin.1.s	lane121s003995_shovill	M_nh4_e	0.1111111111111111	0.83	1	0.09222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_acald_e	0.1111111111111111	0.12	1	0.013333333333333332
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_fe3_e	0.1111111111111111	0.01	1	0.0011111111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_glyc_e	0.1111111111111111	0.94	1	0.10444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_h2o_e	0.1111111111111111	0.02	1	0.0022222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_h2s_e	0.1111111111111111	0.18	1	0.019999999999999997
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_h_e	0.1111111111111111	0.04	1	0.0044444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_nh4_e	0.1111111111111111	0.83	1	0.09222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_pi_e	0.1111111111111111	0.35	1	0.03888888888888888
all	minimal	lane122s000521_bin.1.s	lane122s000521_bin.2.p	M_s_e	0.1111111111111111	0.82	1	0.0911111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_acald_e	0.1111111111111111	0.12	1	0.013333333333333332
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_fe3_e	0.1111111111111111	0.01	1	0.0011111111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_glc__D_e	0.1111111111111111	0.06	1	0.006666666666666666
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_glyc_e	0.1111111111111111	0.94	1	0.10444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_h2o_e	0.1111111111111111	0.02	1	0.0022222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_h2s_e	0.1111111111111111	0.18	1	0.019999999999999997
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_h_e	0.1111111111111111	0.04	1	0.0044444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_nh4_e	0.1111111111111111	0.83	1	0.09222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000530_shovill	M_s_e	0.1111111111111111	0.82	1	0.0911111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_acald_e	0.1111111111111111	0.12	1	0.013333333333333332
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_ala__D_e	0.1111111111111111	0.1	1	0.011111111111111112
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_fe3_e	0.1111111111111111	0.01	1	0.0011111111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_glyc_e	0.1111111111111111	0.94	1	0.10444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_h2o_e	0.1111111111111111	0.02	1	0.0022222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_h2s_e	0.1111111111111111	0.18	1	0.019999999999999997
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_h_e	0.1111111111111111	0.04	1	0.0044444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_nh4_e	0.1111111111111111	0.83	1	0.09222222222222222
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_no2_e	0.1111111111111111	0.04	1	0.0044444444444444444
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_pi_e	0.1111111111111111	0.35	1	0.03888888888888888
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.1.s	M_s_e	0.1111111111111111	0.82	1	0.0911111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.2.o	M_acald_e	0.1111111111111111	0.12	1	0.013333333333333332
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.2.o	M_fe3_e	0.1111111111111111	0.01	1	0.0011111111111111111
all	minimal	lane122s000521_bin.1.s	lane122s000600_bin.2.o	M_glyc_e	0.1111111111111111	0.94	1	0.10444444444444444
