model	metabolite
lane122s000521_bin.1.s	tgt
lane122s000521_bin.1.s	tre
lane122s000521_bin.1.s	tsul
lane122s000521_bin.1.s	zn2
lane122s000521_bin.2.p	14glucan
lane122s000521_bin.2.p	3amp
lane122s000521_bin.2.p	ca2
lane122s000521_bin.2.p	cl
lane122s000521_bin.2.p	cobalt2
lane122s000521_bin.2.p	galman6
lane122s000521_bin.2.p	galt
lane122s000521_bin.2.p	glcman4
lane122s000521_bin.2.p	glcman6
lane122s000521_bin.2.p	glucan4
lane122s000521_bin.2.p	glucan6
lane122s000521_bin.2.p	k
lane122s000521_bin.2.p	lys__L
lane122s000521_bin.2.p	malthx
lane122s000521_bin.2.p	malttr
lane122s000521_bin.2.p	maltttr
lane122s000521_bin.2.p	manttr
lane122s000521_bin.2.p	mg2
lane122s000521_bin.2.p	mn2
lane122s000521_bin.2.p	o2
lane122s000521_bin.2.p	thm
lane122s000521_bin.2.p	zn2
lane122s000522_shovill	14glucan
lane122s000522_shovill	ca2
lane122s000522_shovill	cell6
lane122s000522_shovill	cellb
lane122s000522_shovill	cl
lane122s000522_shovill	cobalt2
lane122s000522_shovill	dextrin
lane122s000522_shovill	fe2
lane122s000522_shovill	fru
lane122s000522_shovill	gam
lane122s000522_shovill	glc__D
lane122s000522_shovill	k
lane122s000522_shovill	malt
lane122s000522_shovill	malthx
lane122s000522_shovill	man
lane122s000522_shovill	mg2
lane122s000522_shovill	mn2
lane122s000522_shovill	mnl
lane122s000522_shovill	o2
lane122s000522_shovill	raffin
lane122s000522_shovill	sucr
lane122s000522_shovill	tre
lane122s000522_shovill	zn2
lane122s000523_bin.1.p	23cgmp
lane122s000523_bin.1.p	ca2
lane122s000523_bin.1.p	cl
lane122s000523_bin.1.p	cobalt2
lane122s000523_bin.1.p	dextrin
lane122s000523_bin.1.p	k
lane122s000523_bin.1.p	malthx
lane122s000523_bin.1.p	malttr
lane122s000523_bin.1.p	maltttr
lane122s000523_bin.1.p	mg2
lane122s000523_bin.1.p	mn2
lane122s000523_bin.1.p	no3
