model	metabolite
lane122s000600_bin.5.s	gln__L
lane122s000600_bin.5.s	ile__L
lane122s000600_bin.5.s	k
lane122s000600_bin.5.s	mg2
lane122s000600_bin.5.s	mn2
lane122s000600_bin.5.s	phe__L
lane122s000600_bin.5.s	pi
lane122s000600_bin.5.s	ribflv
lane122s000600_bin.5.s	val__L
lane122s000600_bin.5.s	zn2
lane122s000600_bin.6.p	ca2
lane122s000600_bin.6.p	cl
lane122s000600_bin.6.p	cobalt2
lane122s000600_bin.6.p	cu2
lane122s000600_bin.6.p	fe2
lane122s000600_bin.6.p	gln__L
lane122s000600_bin.6.p	gly
lane122s000600_bin.6.p	k
lane122s000600_bin.6.p	lys__L
lane122s000600_bin.6.p	met__L
lane122s000600_bin.6.p	mg2
lane122s000600_bin.6.p	mn2
lane122s000600_bin.6.p	o2
lane122s000600_bin.6.p	phe__L
lane122s000600_bin.6.p	pro__L
lane122s000600_bin.6.p	zn2
lane122s000601_bin.10.s	ca2
lane122s000601_bin.10.s	cl
lane122s000601_bin.10.s	cobalt2
lane122s000601_bin.10.s	cu2
lane122s000601_bin.10.s	gln__L
lane122s000601_bin.10.s	k
lane122s000601_bin.10.s	mg2
lane122s000601_bin.10.s	mn2
lane122s000601_bin.10.s	thm
lane122s000601_bin.10.s	zn2
lane122s000601_bin.1.o	ca2
lane122s000601_bin.1.o	cl
lane122s000601_bin.1.o	cobalt2
lane122s000601_bin.1.o	k
lane122s000601_bin.1.o	mg2
lane122s000601_bin.1.o	mn2
lane122s000601_bin.1.o	thr__L
lane122s000601_bin.1.o	zn2
lane122s000601_bin.2.o	ade
lane122s000601_bin.2.o	ca2
lane122s000601_bin.2.o	cl
lane122s000601_bin.2.o	cobalt2
lane122s000601_bin.2.o	cu2
lane122s000601_bin.2.o	k
lane122s000601_bin.2.o	mg2
lane122s000601_bin.2.o	mn2
lane122s000601_bin.2.o	o2
lane122s000601_bin.2.o	phe__L
lane122s000601_bin.2.o	val__L
lane122s000601_bin.2.o	zn2
lane122s000601_bin.3.s	ca2
lane122s000601_bin.3.s	cl
lane122s000601_bin.3.s	cobalt2
lane122s000601_bin.3.s	k
lane122s000601_bin.3.s	mg2
lane122s000601_bin.3.s	mn2
lane122s000601_bin.3.s	o2
lane122s000601_bin.3.s	so4
lane122s000601_bin.3.s	zn2
lane122s000601_bin.4.o	ca2
lane122s000601_bin.4.o	cl
lane122s000601_bin.4.o	cobalt2
lane122s000601_bin.4.o	cu2
lane122s000601_bin.4.o	k
lane122s000601_bin.4.o	mg2
lane122s000601_bin.4.o	mn2
lane122s000601_bin.4.o	phe__L
lane122s000601_bin.4.o	ribflv
lane122s000601_bin.4.o	zn2
lane122s000601_bin.5.o	ca2
lane122s000601_bin.5.o	cl
lane122s000601_bin.5.o	cobalt2
lane122s000601_bin.5.o	k
lane122s000601_bin.5.o	mg2
lane122s000601_bin.5.o	mn2
lane122s000601_bin.5.o	phe__L
lane122s000601_bin.5.o	ribflv
lane122s000601_bin.5.o	tyr__L
lane122s000601_bin.5.o	val__L
lane122s000601_bin.5.o	zn2
lane122s000601_bin.6.o	asn__L
lane122s000601_bin.6.o	ca2
lane122s000601_bin.6.o	cl
lane122s000601_bin.6.o	cobalt2
lane122s000601_bin.6.o	cu2
lane122s000601_bin.6.o	k
lane122s000601_bin.6.o	mg2
lane122s000601_bin.6.o	mn2
lane122s000601_bin.6.o	phe__L
lane122s000601_bin.6.o	val__L
lane122s000601_bin.6.o	zn2
lane122s000601_bin.7.o	ca2
lane122s000601_bin.7.o	cl
lane122s000601_bin.7.o	cobalt2
lane122s000601_bin.7.o	gln__L
lane122s000601_bin.7.o	k
lane122s000601_bin.7.o	leu__L
lane122s000601_bin.7.o	lys__L
lane122s000601_bin.7.o	mg2
lane122s000601_bin.7.o	mn2
lane122s000601_bin.7.o	o2
lane122s000601_bin.7.o	thr__L
lane122s000601_bin.7.o	trp__L
lane122s000601_bin.7.o	zn2
lane122s000601_bin.8.s	ca2
lane122s000601_bin.8.s	cl
lane122s000601_bin.8.s	cobalt2
lane122s000601_bin.8.s	cu2
lane122s000601_bin.8.s	k
lane122s000601_bin.8.s	mg2
lane122s000601_bin.8.s	mn2
lane122s000601_bin.8.s	phe__L
lane122s000601_bin.8.s	ribflv
lane122s000601_bin.8.s	zn2
lane122s000601_bin.9.p	ca2
lane122s000601_bin.9.p	cl
lane122s000601_bin.9.p	cobalt2
lane122s000601_bin.9.p	cu2
lane122s000601_bin.9.p	fe2
lane122s000601_bin.9.p	k
lane122s000601_bin.9.p	mg2
lane122s000601_bin.9.p	mn2
lane122s000601_bin.9.p	o2
lane122s000601_bin.9.p	tyr__L
lane122s000601_bin.9.p	zn2
lane122s000602_bin.1.o	arg__L
lane122s000602_bin.1.o	ca2
lane122s000602_bin.1.o	cl
lane122s000602_bin.1.o	cobalt2
lane122s000602_bin.1.o	his__L
lane122s000602_bin.1.o	k
lane122s000602_bin.1.o	leu__L
lane122s000602_bin.1.o	mg2
lane122s000602_bin.1.o	mn2
lane122s000602_bin.1.o	phe__L
lane122s000602_bin.1.o	so4
lane122s000602_bin.1.o	zn2
lane122s000603_bin.1.o	ala__L
lane122s000603_bin.1.o	arg__L
lane122s000603_bin.1.o	ca2
lane122s000603_bin.1.o	cl
lane122s000603_bin.1.o	cobalt2
lane122s000603_bin.1.o	cu2
lane122s000603_bin.1.o	fe2
lane122s000603_bin.1.o	his__L
